Code,Description,origin_airport_id_ordered,dest_airport_id_ordered
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",207.0,238.0
10136,"Abilene, TX: Abilene Regional",288.0,229.0
10140,"Albuquerque, NM: Albuquerque International Sunport",121.0,148.0
10141,"Aberdeen, SD: Aberdeen Regional",80.0,50.0
10146,"Albany, GA: Southwest Georgia Regional",178.0,254.0
10154,"Nantucket, MA: Nantucket Memorial",297.0,140.0
10155,"Waco, TX: Waco Regional",217.0,252.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",290.0,290.0
10158,"Atlantic City, NJ: Atlantic City International",283.0,305.0
10165,"Adak Island, AK: Adak",61.0,29.0
10170,"Kodiak, AK: Kodiak Airport",12.0,8.0
10185,"Alexandria, LA: Alexandria International",231.0,147.0
10208,"Augusta, GA: Augusta Regional at Bush Field",197.0,232.0
10245,"King Salmon, AK: King Salmon Airport",44.0,11.0
10257,"Albany, NY: Albany International",73.0,131.0
10279,"Amarillo, TX: Rick Husband Amarillo International",37.0,73.0
10299,"Anchorage, AK: Ted Stevens Anchorage International",13.0,31.0
10333,"Alpena, MI: Alpena County Regional",245.0,282.0
10372,"Aspen, CO: Aspen Pitkin County Sardy Field",289.0,268.0
10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",81.0,94.0
10408,"Appleton, WI: Appleton International",95.0,79.0
10423,"Austin, TX: Austin - Bergstrom International",119.0,188.0
10431,"Asheville, NC: Asheville Regional",264.0,241.0
10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",167.0,154.0
10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International",209.0,175.0
10529,"Hartford, CT: Bradley International",77.0,192.0
10551,"Bethel, AK: Bethel Airport",1.0,4.0
10561,"Bakersfield, CA: Meadows Field",90.0,189.0
10577,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",247.0,236.0
10581,"Bangor, ME: Bangor International",263.0,286.0
10599,"Birmingham, AL: Birmingham-Shuttlesworth International",125.0,117.0
10620,"Billings, MT: Billings Logan International",18.0,54.0
10627,"Bismarck/Mandan, ND: Bismarck Municipal",143.0,107.0
10631,"Bemidji, MN: Bemidji Regional",128.0,134.0
